Date,Open,High,Low,Close,Adj Close,Volume
01-01-2021,23735.42383,24316.91602,23649.96094,24165.55664,24165.55664,33508045052
02-01-2021,24167.45117,27321.90625,23972.9668,26474.89258,26474.89258,55925382232
03-01-2021,26476.65625,28519.63086,26413.12891,26760.7207,26760.7207,64216240796
04-01-2021,26784.33203,27294.24023,23363.98047,26094.00586,26094.00586,66241895056
05-01-2021,26098.18945,28009.36719,24633.16797,27639.48242,27639.48242,54923202611
06-01-2021,27656.70898,29889.70508,27254.71875,29844.85938,29844.85938,61019450973
07-01-2021,29852.56641,32748.24609,29653.54297,32089.44727,32089.44727,69085552572
08-01-2021,32098.1875,34261.71875,30048.31836,33372.28125,33372.28125,72071598504
09-01-2021,33364.94531,33894.76953,31886.20117,32928.05859,32928.05859,50702797264
10-01-2021,32927.78906,33881.55078,29440.85938,31472.68555,31472.68555,65626762864
11-01-2021,31464.55469,31464.55469,25108.53125,29247.20898,29247.20898,1.01409E+11
12-01-2021,29205.84961,30067.74023,26899.25195,27786.22852,27786.22852,61246642389
13-01-2021,27779.80664,30918.48438,26690.49219,30682.92969,30682.92969,57033976442
14-01-2021,30690.12109,32956.89844,30354.29297,32250.85742,32250.85742,52355450869
15-01-2021,32225.6582,32558.05078,28660.1875,30485.8418,30485.8418,56095675651
16-01-2021,30482.76563,31345.98047,29509.46484,29950.03516,29950.03516,47772009926
17-01-2021,29938.04102,30384.21875,28204.25391,29661.73438,29661.73438,43392810402
18-01-2021,29662.5293,30927.67188,28899.0332,30328.93359,30328.93359,40994649866
19-01-2021,30339,31129.61914,29713.6582,29713.6582,29713.6582,47156737845
20-01-2021,29697.43359,29955.80664,27749.52539,29342.67773,29342.67773,55168197409
21-01-2021,29344.03711,29349.66211,24863.66602,25338.50781,25338.50781,62178072138
22-01-2021,25331.87305,27783.74023,23802.71289,27116.14844,27116.14844,63430252390
23-01-2021,27099.71289,27402.33984,25868.13477,26340.00977,26340.00977,39718049871
24-01-2021,26337.32617,27059.8457,25550.68945,26538.0918,26538.0918,39979537424
25-01-2021,26535.14844,28648.33008,26428.94531,26654.59766,26654.59766,49326841880
26-01-2021,26648.19141,26962.82617,25522.39453,26775.67383,26775.67383,49535981991
27-01-2021,26770.88867,26770.88867,24326.74023,25144.74023,25144.74023,51703736731
28-01-2021,25151.75781,26367.98242,24827.54102,26110.98828,26110.98828,65132391850
29-01-2021,28312.97266,31619.60547,26499.83789,28272.55078,28272.55078,97130862506
30-01-2021,28255.70117,28700.07227,27139.18945,28234.41797,28234.41797,53669896754
31-01-2021,28235.53711,28249.91602,26587.17188,27316.09961,27316.09961,43517327759
01-02-2021,27316.28125,28640.81445,26701.18555,27790.58203,27790.58203,50879442007
02-02-2021,27787.28711,29868.89844,27758.37695,29501.52148,29501.52148,52413239715
03-02-2021,29501.96484,31129.61914,29442.2168,31119.44727,31119.44727,50797207476
04-02-2021,31121.94922,32148.94336,30341.81836,30859.55469,30859.55469,57528804826
05-02-2021,30864.13672,31829.67969,30629.38672,31658.24805,31658.24805,48634051191
06-02-2021,31653.33594,33900.22266,31653.33594,32588.47266,32588.47266,59196399696
07-02-2021,32575.3418,32883.78516,31078.09766,32288.65039,32288.65039,54363501629
08-02-2021,32274.86133,38335.86328,31629.58203,38329.66797,38329.66797,84188369335
09-02-2021,38320.14844,39742.1875,37317.62109,38362.29688,38362.29688,75773512740
10-02-2021,38352.93359,38880.10156,36177.20313,37065.04688,37065.04688,72038065748
11-02-2021,37048.98047,39940.24609,36473.28516,39494.44141,39494.44141,67093600562
12-02-2021,39467.81641,40177.79297,38387.74609,39194.92188,39194.92188,63163420949
13-02-2021,39183.66016,39641.74219,38275.90625,38864.35938,38864.35938,57960068600
14-02-2021,38871.77734,40829.73047,38871.77734,40194.05469,40194.05469,58783505751
15-02-2021,40176.92969,40319.02344,38210.52734,39518.80859,39518.80859,63525021825
16-02-2021,39518.31641,41385.67188,38881.41406,40700.74219,40700.74219,63739498591
17-02-2021,40706.86719,43628.3125,40604.15234,43293.16797,43293.16797,67095762025
